called_number,attempts,unique_src
57011972598112101,32,1
90014421232229879,32,1
8900421232229879,32,1
59011972598112101,32,1
005421232229879,32,1
60011972598112101,32,1
421232229879,32,1
9810421232229879,32,1
0014421232229879,32,1
00015421232229879,32,1
9421232229879,32,1
0016421232229879,32,1
70011972598112101,32,1
010421232229879,32,1
001421232229879,32,1
67011972598112101,32,1
9001421232229879,32,1
972567709447,32,1
62011972598112101,32,1
012421232229879,32,1
79011972598112101,32,1
710,32,7
900421232229879,32,1
00+421232229879,32,1
205,32,6
82011972598112101,32,1
008421232229879,32,1
00.421232229879,32,1
9007421232229879,32,1
008525598160169,31,4
73011972598112101,31,1
103011972598112101,31,1
00442037699931;,31,6
104,31,8
72011972598112101,31,1
102011972598112101,31,1
0012442037699931,31,6
87011972598112101,31,1
77000442037699931,31,6
101011972598112101,31,1
85011972598112101,31,1
8011442037693680,31,1
1100421232229879,31,1
90015421232229879,31,1
89011972598112101,31,1
0018421232229879,31,1
86011972598112101,31,1
84011972598112101,31,1
0019421232229879,31,1
104011972598112101,31,1
88011972598112101,31,1
900015421232229879,31,1
21,31,7
127011972598112101,30,1
133011972598112101,30,1
138011972598112101,30,1
+972567709447,30,1
129011972598112101,30,1
132011972598112101,30,1
113011972598112101,30,1
000442039969300,30,1
9011970567709447,30,1
910,30,8
105011972598112101,30,1
109011972598112101,30,1
106011972598112101,30,1
810,30,8
116011972598112101,30,1
135011972598112101,30,1
107011972598112101,30,1
510,30,8
7514558,30,10
0442039969300,30,1
nm2,30,25
012525598160169,30,5
137011972598112101,30,1
130011972598112101,30,1
121011972598112101,30,1
+442039962635,30,1
134011972598112101,30,1
118011972598112101,30,1
110011972598112101,30,1
128011972598112101,30,1
108011972598112101,30,1
610,30,8
131011972598112101,30,1
114011972598112101,30,1
117011972598112101,30,1
136011972598112101,30,1
126011972598112101,30,1
122011972598112101,30,1
119011972598112101,30,1
115011972598112101,30,1
139011972598112101,29,1
5011442037693680,29,1
0050442037699931,29,5
004525598160169,29,5
10525598160169,29,4
00210442037699931,29,5
140011972598112101,29,1
90525598160169,29,4
112011972598112101,29,1
124011972598112101,29,1
0200442037699931,29,5
9000525598160169,29,4
1000525598160169,29,4
+15612571360,29,1
+390690282922,29,1
99900442037699931,29,5
1011442037693680,29,1
11100442037699931,29,5
011442038075345,29,1
00110442037699931,29,5
0020442037699931,29,5
+442039969300,28,1
33300442037699931,28,4
9011442039962635,28,1
111011972598112101,28,1
105,28,7
143011972598112101,28,1
000390690282922,28,1
0000525598160169,28,4
100525598160169,28,4
1004,28,6
810390690282922,28,1
145011972598112101,28,1
442039969300,28,1
142011972598112101,28,1
141011972598112101,28,1
900390690282922,28,1
88000442037699931,28,4
410,27,8
1010442037699931,27,4
146011972598112101,27,1
390690282922,27,1
007525598160169,27,4
9011442038075345,27,1
999442037699931,27,4
310,27,8
8011442038075345,27,1
147011972598112101,27,1
144011972598112101,27,1
111442037699931,27,4
1020442037699931,27,4
005525598160169,27,4
99934300442039966874,26,1
99942548600442039966874,26,1
7900442039966874,26,1
90011442039966874,26,1
9991300442039966874,26,1
1790100442039966874,26,1
151011972598112101,26,1
9990040000442039966874,26,1
9010442039966874,26,1
1600442039966874,26,1
915500442039966874,26,1
063100442039966874,26,1
0014442039966874,26,1
447900442039966874,26,1
90010442039966874,26,1
99947900442039966874,26,1
9916700442039966874,26,1
900442039966874,26,1
0000442039966874,26,1
1790900442039966874,26,1
9516700442039966874,26,1
6662900442039966874,26,1
999100442039966874,26,1
159011972598112101,26,1
005442039966874,26,1
154011972598112101,26,1
175011972598112101,26,1
177700442039966874,26,1
171011972598112101,26,1
49600442039966874,26,1
201400442039966874,26,1
0010442039966874,26,1
0110442037699931,26,5
502200442039966874,26,1
9992900442039966874,26,1
150011972598112101,26,1
9910100442039966874,26,1
09442039966874,26,1
155011972598112101,26,1
010442039966874,26,1
9910300442039966874,26,1
442039966874,26,1
00011442039966874,26,1
05442039966874,26,1
1259300442039966874,26,1
8600442039966874,26,1
148011972598112101,26,1
183011972598112101,26,1
001442039966874,26,1
9020442039966874,26,1
198800442039966874,26,1
9009442039966874,26,1
905442039966874,26,1
156011972598112101,26,1
9993800442039966874,26,1
1799600442039966874,26,1
179011972598112101,26,1
990000442039966874,26,1
162011972598112101,26,1
158011972598112101,26,1
91008600442039966874,26,1
167011972598112101,26,1
99900442039966874,26,1
9810442039966874,26,1
44400442039966874,26,1
99442039966874,26,1
149011972598112101,26,1
+442039966874,26,1
9644600442039966874,26,1
1799800442039966874,26,1
182011972598112101,26,1
9000442039966874,26,1
9005442039966874,26,1
34300442039966874,26,1
02600442039966874,26,1
164011972598112101,26,1
999625400442039966874,26,1
6660000442039966874,26,1
810442039966874,26,1
174011972598112101,26,1
9990000442039966874,26,1
95500442039966874,26,1
9994008600442039966874,26,1
99940000442039966874,26,1
1799100442039966874,26,1
0001442039966874,26,1
099442039966874,26,1
178011972598112101,26,1
0009442039966874,26,1
00442039966874,26,1
172011972598112101,26,1
009390690282922,26,1
169011972598112101,26,1
00010442039966874,26,1
00014442039966874,26,1
173011972598112101,26,1
0810442039966874,26,1
009442039966874,26,1
0020442039966874,26,1
66640000442039966874,26,1
111100442039966874,26,1
000442039966874,26,1
161011972598112101,26,1
170011972598112101,26,1
1180800442039966874,26,1
9119442039966874,26,1
0011442039966874,26,1
444800442039966874,26,1
1793100442039966874,26,1
0002442039966874,26,1
9011442039966874,26,1
91790100442039966874,26,1
168011972598112101,26,1
184011972598112101,26,1
666998600442039966874,26,1
9993300442039966874,26,1
55500442039966874,26,1
166011972598112101,26,1
002442039966874,26,1
91180800442039966874,26,1
44600442039966874,26,1
157011972598112101,26,1
020442039966874,26,1
9002442039966874,26,1
44700442039966874,26,1
011442039966874,26,1
176011972598112101,26,1
91790900442039966874,26,1
181011972598112101,26,1
91795100442039966874,26,1
+86000442039966874,26,1
944400442039966874,26,1
447800442039966874,26,1
44500442039966874,26,1
0119442039966874,26,1
27400442039966874,26,1
177011972598112101,26,1
99918600442039966874,26,1
165011972598112101,26,1
9001442039966874,26,1
0005442039966874,26,1
9992200442039966874,26,1
9196700442039966874,26,1
91259300442039966874,26,1
9992548600442039966874,26,1
9044500442039966874,26,1
99925400442039966874,26,1
1253400442039966874,26,1
90014442039966874,26,1
152011972598112101,26,1
99004400442039966874,26,1
8917300442039966874,26,1
9990900442039966874,26,1
180011972598112101,26,1
9910200442039966874,26,1
986000442039966874,26,1
945400442039966874,26,1
960000442039966874,26,1
8444500442039966874,26,1
77100442039966874,26,1
160011972598112101,26,1
1795100442039966874,26,1
120,25,7
500442039966874,25,1
8800442039966874,25,1
999343100442039966874,25,1
55400442039966874,25,1
33756758573,25,2
700442039966874,25,1
6666442039966874,25,1
9613300442039966874,25,1
9999442039966874,25,1
0123442039966874,25,1
002390690282922,25,1
9020500442039966874,25,1
12,25,5
1212442039966874,25,1
185011972598112101,25,1
5559500442039966874,25,1
00442038075345,25,1
88000442039966874,25,1
666442039966874,25,1
011442039969300,25,1
010390690282922,25,1
012345442039966874,25,1
187011972598112101,25,1
555442039966874,25,1
111442039966874,25,1
001600442039966874,25,1
1111442039966874,25,1
8888442039966874,25,1
01234442039966874,25,1
440100442039966874,25,1
102030442037699931,25,4
9075000442039966874,25,1
5558600442039966874,25,1
9992000442039966874,25,1
9991000442039966874,25,1
190011972598112101,25,1
862100442039966874,25,1
444442039966874,25,1
12345442039966874,25,1
123456789442039966874,25,1
528800442039966874,25,1
600442039966874,25,1
3333442039966874,25,1
9190800442039966874,25,1
9993000442039966874,25,1
163011972598112101,25,1
777442039966874,25,1
200442039966874,25,1
400442039966874,25,1
888442039966874,25,1
001390690282922,25,1
222442039966874,25,1
090442037699931,25,6
12345678442039966874,25,1
123442039966874,25,1
9993438600442039966874,25,1
1234567442039966874,25,1
123456442039966874,25,1
900442039969300,25,1
123321442039966874,25,1
006525598160169,25,4
100442039966874,25,1
1234442039966874,25,1
800442039966874,25,1
333442039966874,25,1
7777442039966874,25,1
9994798600442039966874,25,1
186011972598112101,25,1
4444442039966874,25,1
5555442039966874,25,1
015442037699931,25,4
2222442039966874,25,1
carol,25,23
189011972598112101,24,1
99999,24,7
127,24,4
209,24,4
133756758573,24,2
021442037699931,24,5
11111,24,7
193011972598112101,24,1
153011972598112101,24,1
191011972598112101,24,1
192011972598112101,24,1
19,24,5
194011972598112101,24,1
009525598160169,24,4
188011972598112101,24,1
128,24,3
401401,23,5
22222,23,6
101101,23,3
197011972598112101,23,1
195011972598112101,23,1
18633234017,23,1
88888,23,6
27,23,5
8011442037698635,23,1
66666,23,6
33333,23,6
55555,23,6
1230442039969300,23,1
77777,23,6
933756758573,23,2
202,23,10
44444,23,6
51,23,7
201201,22,4
00.525598160169,22,4
0011442039969300,22,1
*12548044505,22,1
9442037698635,22,1
109,22,6
1,22,8
204,22,6
207,22,4
129,22,3
32,22,3
check_123,22,13
5011442037698635,22,1
00133756758573,22,2
011+525598160169,22,4
8525598160169,22,4
1011442037698635,22,1
001442039969300,22,1
0525598160169,22,4
81033756758573,22,2
13,22,6
+011442037698635,22,1
18,22,5
196011972598112101,22,1
01033756758573,21,2
107,21,6
9001525598160169,21,3
011.525598160169,21,3
12300525598160169,21,3
17,21,4
198011972598112101,21,1
00888442037699931,21,4
-12548044505,21,1
+525598160169;,21,3
14,21,5
00525598160169;,21,3
099442037699931,21,5
$525598160169,21,3
101133756758573,21,2
1525598160169,21,3
91,21,7
20442037699931,21,4
32100525598160169,21,3
001133756758573,21,2
9525598160169,21,3
00+525598160169,21,3
901133756758573,20,1
+12014646500,20,1
501501,20,4
810442039969300,20,1
25,20,4
41,20,7
+12548044505,20,2
812548044505,20,1
0011442037698635,20,1
221011972598112101,19,1
217011972598112101,19,1
206011972598112101,19,1
71,19,7
229011972598112101,19,1
207011972598112101,19,1
301301,19,3
223011972598112101,19,1
214011972598112101,19,1
211011972598112101,19,1
01233756758573,19,2
231011972598112101,19,1
225011972598112101,19,1
211,19,6
218011972598112101,19,1
224011972598112101,19,1
23007,19,1
601601,19,3
215011972598112101,19,1
230011972598112101,19,1
205011972598112101,19,1
31,19,6
216011972598112101,19,1
199011972598112101,19,1
712548044505,19,1
208011972598112101,19,1
81,19,7
2005,19,5
222011972598112101,19,1
220011972598112101,19,1
108,19,6
203011972598112101,19,1
210011972598112101,19,1
228011972598112101,19,1
1020,19,5
#12548044505,19,1
226011972598112101,19,1
204011972598112101,19,1
219011972598112101,19,1
227011972598112101,19,1
202011972598112101,18,1
237011972598112101,18,1
61,18,6
20102010,18,2
901901,18,2
212011972598112101,18,1
201011972598112101,18,1
40104010,18,2
23,18,3
80108010,18,2
sip,18,3
1234,18,7
234011972598112101,18,1
60106010,18,2
10101010,18,2
70107010,18,2
50105010,18,2
701701,18,2
213011972598112101,18,1
239011972598112101,18,1
90109010,18,2
235011972598112101,18,1
30103010,18,2
**12548044505,18,2
***12548044505,18,2
232011972598112101,18,1
240011972598112101,18,1
238011972598112101,18,1
233011972598112101,18,1
801801,18,2
236011972598112101,18,1
+*12548044505,17,1
123456,17,6
00533756758573,17,1
241011972598112101,17,1
12345,17,6
90011442037699931,17,4
6969,17,5
106,17,6
02,17,6
00233756758573,17,1
912548044505,17,1
701133756758573,17,1
01,17,6
00333756758573,17,1
203,17,7
6612548044505,17,1
1100,17,8
115,17,8
abc,17,5
221,17,6
00433756758573,17,1
5,17,7
#412548044505,16,1
*812548044505,16,1
991,16,6
131,16,6
208,16,4
612548044505,16,1
114,16,5
9901133756758573,16,1
#312548044505,16,1
24,16,2
6005,16,7
##12548044505,16,2
112548044505,16,2
3112548044505,16,1
9801133756758573,16,1
2020,16,8
26,16,2
601133756758573,16,1
###12548044505,16,2
+#12548044505,16,1
#812548044505,16,1
9090,16,6
247011972598112101,15,1
1030,15,6
3030,15,7
217,15,3
test,15,8
181,15,7
01533756758573,15,1
312548044505,15,1
3312548044505,15,1
3012548044505,15,1
801133756758573,15,1
242011972598112101,15,1
#512548044505,15,1
248011972598112101,15,1
401133756758573,15,1
412548044505,15,1
4,15,7
2,15,7
0912548044505,15,1
246011972598112101,15,1
116,15,5
7712548044505,15,1
512548044505,15,1
227,15,3
*912548044505,15,1
505,15,7
8901133756758573,15,1
00633756758573,15,1
243011972598112101,15,1
215,15,4
+1#12548044505,15,1
518633234017,15,1
000201095755963,15,1
4012548044505,15,1
245011972598112101,15,1
+1912548044505,15,1
212548044505,15,1
132,14,3
811,14,5
6812548044505,14,1
00733756758573,14,1
501133756758573,14,1
1101133756758573,14,1
5+12548044505,14,1
target,14,2
141,14,6
9,14,8
602,14,5
9912548044505,14,1
219,14,4
#712548044505,14,1
212,14,5
2#12548044505,14,1
2*12548044505,14,1
561,14,4
249011972598112101,14,1
+0612548044505,14,1
6,14,8
911,14,5
0*12548044505,14,1
707,14,7
151,14,6
7901133756758573,14,1
100200442037699931,14,4
#012548044505,14,1
+18258905020,14,3
+1*12548044505,14,1
*+12548044505,14,1
6712548044505,14,1
4112548044505,14,1
10100442037699931,14,3
1412548044505,14,1
4040,14,7
244011972598112101,14,1
231,14,4
#612548044505,14,1
0812548044505,14,1
171,14,6
3,14,7
#912548044505,14,1
213,14,4
*#12548044505,14,1
6912548044505,14,1
250011972598112101,14,1
00833756758573,14,1
0112548044505,14,1
441,13,5
999011442037699931,13,3
001100442037699931,13,3
+0712548044505,13,1
+0512548044505,13,1
9+442037699931,13,3
000999442037699931,13,3
1001442037699931,13,3
551,13,6
909,13,7
771,13,6
305,13,5
229,13,4
999000442037699931,13,3
9+011442037699931,13,3
717,13,4
00123442037699931,13,3
0012548044505,13,1
303,13,7
+912548044505,13,1
1040,13,5
3212548044505,13,1
5050,13,6
01100442037699931,13,3
99011442037699931,13,3
118,13,5
10011442037699931,13,3
5#12548044505,13,1
881,13,6
98700442037699931,13,3
8011201095755963,13,1
0111442037699931,13,3
0123442037699931,13,3
331,13,6
101442037699931,13,3
1112548044505,13,1
3+12548044505,13,1
1512548044505,13,1
00321442037699931,13,3
990011442037699931,13,3
808,13,7
5012548044505,13,1
8080,13,6
89011442037699931,13,3
987011442037699931,13,3
0212548044505,13,2
9010442037699931,13,3
177,13,4
112,13,5
1007,13,7
011011442037699931,13,3
2912548044505,13,1
011012442037699931,13,3
1612548044505,13,1
611,13,5
252011972598112101,13,1
8,13,7
1101,13,6
000011442037699931,13,3
220,13,5
525,13,6
251011972598112101,13,1
789011442037699931,13,3
9011011442037699931,13,3
00447888384483,13,2
2+12548044505,13,1
1912548044505,13,1
405,13,5
00933756758573,13,1
603,13,5
1070,13,5
3210442037699931,13,3
113,13,5
010011442037699931,13,3
135,13,3
235,13,3
214,13,3
515,13,5
7,13,7
6012548044505,13,1
606,13,7
6060,13,6
161,13,5
1011,13,7
661,13,6
0119011442037699931,13,3
251,13,6
00011442037699931,13,3
01442037699931,13,3
01010442037699931,13,3
7070,13,6
5312548044505,12,1
1+12548044505,12,1
1008,12,6
253011972598112101,12,1
6#12548044505,12,1
7112548044505,12,1
4712548044505,12,1
6+12548044505,12,1
28,12,3
7#12548044505,12,1
9+12548044505,12,1
4#12548044505,12,1
6112548044505,12,1
7012548044505,12,1
+812548044505,12,1
111111,12,7
905,12,5
4*12548044505,12,1
1312548044505,12,1
1080,12,4
7+12548044505,12,1
+0*12548044505,12,1
255011972598112101,12,1
206,12,4
+1812548044505,12,1
012548044505,12,2
5412548044505,12,1
1060,12,4
6412548044505,12,1
6212548044505,12,1
8+12548044505,12,1
+0#12548044505,12,1
8112548044505,12,1
4912548044505,12,1
+0112548044505,12,1
254011972598112101,12,1
#+12548044505,12,1
1712548044505,12,1
8812548044505,12,1
8412548044505,12,1
#112548044505,12,1
3412548044505,12,1
5112548044505,12,1
+0312548044505,12,1
+0412548044505,12,1
+012548044505,12,1
+0812548044505,12,1
+712548044505,12,1
+0912548044505,12,1
805,12,5
9312548044505,12,1
1200,12,7
3*12548044505,12,1
+1212548044505,12,1
9#12548044505,12,1
7912548044505,12,1
3#12548044505,12,1
1*12548044505,12,1
1012548044505,12,1
818633234017,12,1
9712548044505,12,1
230,12,4
2004,12,5
9212548044505,12,1
2612548044505,12,1
+0012548044505,12,1
7812548044505,12,1
8801133756758573,12,1
1#12548044505,12,1
#*12548044505,12,1
0712548044505,12,1
+512548044505,12,1
19363370359,12,1
2712548044505,12,1
0+12548044505,12,1
5*12548044505,12,1
2011,12,6
5912548044505,12,1
0312548044505,12,1
0612548044505,12,1
2030,12,5
8912548044505,12,1
9412548044505,12,1
5212548044505,12,1
00442840243014,12,2
321442037699931,12,3
4612548044505,12,1
*712548044505,12,1
8012548044505,12,1
*612548044505,12,1
1050,12,4
2200,12,6
0512548044505,12,1
*212548044505,12,1
1090,12,4
130,12,5
4312548044505,12,1
3912548044505,12,1
